Characteristic,All races Number,All races Mean income (dollars),White A.O.I.C. Number,White A.O.I.C. Mean income (dollars),White alone Number,White alone Mean income (dollars),"White alone, not Hispanic Number","White alone, not Hispanic Mean income (dollars)",Black A.O.I.C. Number,Black A.O.I.C. Mean income (dollars),Black alone Number,Black alone Mean income (dollars),Asian A.O.I.C. Number,Asian A.O.I.C. Mean income (dollars),Asian alone Number,Asian alone Mean income (dollars),Hispanic (any race) Number,Hispanic (any race) Mean income (dollars)
....Total,138 400,41 990,107 600,42 260,104 900,42 410,83 680,46 160,20 200,37 100,18 900,37 560,10 110,50 990,9 309,51 020,24 120,27 950
"Under $2,500",27 390,173,20 840,185,20 150,185,13 680,213,3 852,138,3 486,135,2 551,148,2 348,142,7 245,120
"$2,500 to $4,999",3 052,3 621,2 440,3 588,2 348,3 590,1 845,3 586,407,3 793,374,3 831,212,3 566,172,3 587,564,3 617
"$5,000 to $7,499",3 220,6 041,2 488,6 004,2 399,6 013,1 733,6 010,473,6 178,414,6 202,249,6 103,232,6 159,736,6 026
"$7,500 to $9,999",3 330,8 756,2 610,8 747,2 533,8 735,1 919,8 734,512,8 830,465,8 814,207,8 734,198,8 738,682,8 763
"$10,000 to $12,499",6 133,11 160,4 632,11 150,4 485,11 160,3 476,11 180,1 103,11 180,1 017,11 180,391,11 130,363,11 140,1 170,11 060
"$12,500 to $14,999",4 355,13 680,3 404,13 670,3 345,13 670,2 707,13 680,676,13 700,643,13 700,232,13 680,222,13 690,737,13 640
"$15,000 to $17,499",5 359,15 990,4 323,15 990,4 243,15 990,3 401,16 020,668,16 000,653,16 000,321,15 950,301,15 910,936,15 870
"$17,500 to $19,999",3 725,18 580,2 870,18 590,2 805,18 590,2 282,18 600,623,18 600,597,18 610,191,18 370,179,18 380,590,18 580
"$20,000 to $22,499",5 416,20 880,4 219,20 890,4 133,20 890,3 149,20 950,895,20 860,843,20 900,264,20 770,251,20 740,1 090,20 740
"$22,500 to $24,999",3 417,23 720,2 761,23 730,2 719,23 730,2 250,23 740,467,23 720,453,23 730,158,23 640,148,23 630,533,23 680
"$25,000 to $27,499",4 548,25 850,3 660,25 850,3 576,25 850,2 771,25 900,649,25 870,604,25 870,203,25 740,177,25 740,913,25 670
"$27,500 to $29,999",2 857,28 650,2 285,28 660,2 245,28 670,1 878,28 690,388,28 550,367,28 570,169,28 610,158,28 600,426,28 550
"$30,000 to $32,499",5 455,30 760,4 163,30 780,4 061,30 780,3 046,30 840,988,30 730,918,30 710,315,30 590,294,30 580,1 163,30 620
"$32,500 to $34,999",2 500,33 620,2 007,33 640,1 953,33 630,1 644,33 640,382,33 640,349,33 620,110,33 370,106,33 370,376,33 540
"$35,000 to $37,499",3 808,35 800,2 898,35 820,2 811,35 820,2 219,35 830,691,35 730,664,35 740,192,35 800,178,35 790,678,35 740
"$37,500 to $39,999",2 190,38 520,1 723,38 510,1 685,38 510,1 352,38 520,371,38 600,340,38 610,103,38 560,91,38 580,354,38 490
"$40,000 to $42,499",4 264,40 700,3 298,40 740,3 219,40 740,2 569,40 780,688,40 590,658,40 580,254,40 520,215,40 470,732,40 600
"$42,500 to $44,999",1 630,43 640,1 323,43 650,1 297,43 650,1 138,43 660,212,43 570,195,43 600,92,43 600,85,43 630,177,43 620
