Characteristic,All races Number,All races Mean income (dollars),White A.O.I.C. Number,White A.O.I.C. Mean income (dollars),White alone Number,White alone Mean income (dollars),"White alone, not Hispanic Number","White alone, not Hispanic Mean income (dollars)",Black A.O.I.C. Number,Black A.O.I.C. Mean income (dollars),Black alone Number,Black alone Mean income (dollars),Asian A.O.I.C. Number,Asian A.O.I.C. Mean income (dollars),Asian alone Number,Asian alone Mean income (dollars),Hispanic (any race) Number,Hispanic (any race) Mean income (dollars)
....Total,133 100,63 090,105 700,65 100,103 000,65 500,81 400,71 400,17 690,44 380,16 440,44 470,9 420,78 830,8 692,79 870,24 380,42 850
"Under $2,500",18 270,136,13 220,151,12 690,152,9 010,180,3 439,95,3 161,92,1 529,104,1 354,100,4 270,74
"$2,500 to $4,999",2 234,3 612,1 763,3 612,1 689,3 609,1 348,3 635,309,3 604,290,3 585,162,3 654,145,3 670,387,3 506
"$5,000 to $7,499",2 191,5 974,1 640,5 970,1 605,5 970,1 213,5 978,350,6 012,334,6 019,179,5 922,164,5 933,435,5 895
"$7,500 to $9,999",2 159,8 686,1 567,8 675,1 496,8 673,1 088,8 667,431,8 625,386,8 616,177,8 933,173,8 932,461,8 700
"$10,000 to $12,499",3 632,11 120,2 697,11 070,2 624,11 080,1 859,11 080,711,11 240,680,11 270,219,11 020,205,11 050,840,11 100
"$12,500 to $14,999",2 551,13 720,1 929,13 740,1 870,13 750,1 466,13 770,481,13 650,432,13 640,124,13 470,121,13 450,483,13 600
"$15,000 to $17,499",3 669,15 920,2 793,15 930,2 716,15 940,1 938,16 030,614,15 830,567,15 850,223,15 920,214,15 940,869,15 710
"$17,500 to $19,999",2 595,18 590,2 051,18 600,2 006,18 600,1 572,18 630,430,18 540,410,18 530,112,18 600,106,18 620,485,18 480
"$20,000 to $22,499",4 208,20 800,3 326,20 830,3 233,20 830,2 283,20 890,634,20 710,591,20 690,229,20 640,206,20 640,1 063,20 690
"$22,500 to $24,999",2 824,23 740,2 355,23 760,2 299,23 750,1 764,23 750,345,23 650,324,23 630,112,23 660,105,23 680,578,23 780
"$25,000 to $27,499",3 866,25 750,3 051,25 760,2 930,25 770,2 084,25 810,608,25 620,527,25 640,198,25 930,183,25 950,951,25 670
"$27,500 to $29,999",2 302,28 540,1 871,28 570,1 840,28 570,1 395,28 590,308,28 430,293,28 430,93,28 360,91,28 340,482,28 500
"$30,000 to $32,499",4 921,30 690,3 817,30 720,3 727,30 720,2 546,30 830,799,30 560,728,30 560,278,30 540,259,30 540,1 345,30 480
"$32,500 to $34,999",2 075,33 610,1 673,33 620,1 635,33 620,1 263,33 640,294,33 530,284,33 510,69,(B),65,(B),436,33 530
"$35,000 to $37,499",3 961,35 710,3 142,35 750,3 053,35 760,2 185,35 810,598,35 540,546,35 560,218,35 650,207,35 620,979,35 610
"$37,500 to $39,999",2 114,38 540,1 759,38 540,1 726,38 540,1 314,38 560,263,38 630,243,38 620,93,38 390,84,38 420,430,38 460
"$40,000 to $42,499",4 311,40 700,3 443,40 720,3 342,40 730,2 353,40 770,586,40 680,544,40 670,260,40 500,245,40 490,1 121,40 630
"$42,500 to $44,999",1 584,43 590,1 325,43 610,1 271,43 620,1 027,43 640,199,43 490,179,43 500,79,43 500,62,(B),279,43 510
"$45,000 to $47,499",3 228,45 730,2 557,45 770,2 504,45 770,1 911,45 870,499,45 630,477,45 630,156,45 490,147,45 510,680,45 480
"$47,500 to $49,999",1 936,48 530,1 583,48 570,1 556,48 560,1 290,48 570,215,48 460,193,48 420,117,48 380,113,48 370,300,48 500
"$50,000 to $52,499",4 702,50 650,3 762,50 690,3 681,50 680,2 793,50 700,662,50 480,637,50 470,238,50 630,222,50 600,997,50 620
"$52,500 to $54,999",1 664,53 610,1 300,53 600,1 269,53 610,1 032,53 620,238,53 600,220,53 600,113,53 730,106,53 760,280,53 540
"$55,000 to $57,499",2 833,55 750,2 367,55 740,2 322,55 740,1 817,55 780,294,55 740,270,55 790,154,55 740,131,55 710,555,55 610
"$57,500 to $59,999",1 383,58 570,1 155,58 560,1 143,58 560,930,58 590,128,58 640,125,58 640,87,58 480,80,58 530,223,58 420
"$60,000 to $62,499",3 861,60 500,3 115,60 510,3 056,60 510,2 354,60 570,540,60 460,525,60 470,191,60 370,164,60 390,779,60 320
"$62,500 to $64,999",1 195,63 570,993,63 570,966,63 560,858,63 580,142,63 610,129,63 610,63,(B),54,(B),129,63 500
"$65,000 to $67,499",2 281,65 760,1 838,65 780,1 782,65 790,1 451,65 820,297,65 620,277,65 640,142,65 850,131,65 780,358,65 650
"$67,500 to $69,999",1 118,68 580,948,68 590,916,68 590,821,68 600,122,68 560,105,68 520,61,(B),50,(B),115,68 540
"$70,000 to $72,499",2 781,70 720,2 305,70 720,2 245,70 720,1 775,70 740,296,70 760,281,70 740,183,70 680,169,70 660,518,70 660
"$72,500 to $74,999",945,73 610,799,73 620,780,73 630,686,73 630,98,73 610,90,73 600,49,(B),43,(B),109,73 660
"$75,000 to $77,499",2 093,75 590,1 734,75 600,1 702,75 600,1 455,75 620,225,75 520,204,75 510,147,75 540,134,75 580,259,75 470
"$77,500 to $79,999",933,78 590,782,78 550,778,78 550,671,78 550,105,78 860,105,78 860,41,(B),39,(B),115,78 580
"$80,000 to $82,499",2 233,80 660,1 890,80 690,1 856,80 690,1 565,80 710,157,80 370,137,80 380,181,80 620,171,80 600,335,80 600
"$82,500 to $84,999",821,83 590,716,83 590,704,83 590,621,83 570,70,(B),62,(B),43,(B),40,(B),87,83 680
"$85,000 to $87,499",1 430,85 780,1 192,85 820,1 170,85 820,984,85 830,111,85 540,108,85 530,117,85 670,113,85 680,202,85 760
"$87,500 to $89,999",658,88 610,562,88 600,555,88 610,488,88 640,42,(B),42,(B),43,(B),43,(B),82,88 400
"$90,000 to $92,499",1 567,90 700,1 277,90 700,1 256,90 690,1 088,90 710,160,90 700,152,90 730,135,90 740,128,90 680,181,90 610
"$92,500 to $94,999",576,93 600,498,93 600,489,93 610,442,93 610,26,(B),24,(B),39,(B),36,(B),59,(B)
"$95,000 to $97,499",1 134,95 920,973,95 940,962,95 950,854,95 960,79,95 560,75,95 530,74,(B),71,(B),129,95 760
"$97,500 to $99,999",548,98 550,451,98 510,451,98 510,392,98 520,52,(B),52,(B),32,(B),32,(B),68,(B)
"$100,000 to $149,999",12 380,118 000,10 080,117 900,9 907,117 900,8 900,117 900,1 062,117 600,1 009,117 500,1 250,119 300,1 161,119 500,1 129,117 200
"$150,000 to $199,999",5 274,167 800,4 292,168 000,4 244,168 000,3 878,168 200,347,167 500,338,167 800,640,166 700,605,166 300,421,166 500
"$200,000 to $249,999",2 403,216 400,1 984,216 700,1 948,216 700,1 802,216 900,134,215 200,122,215 400,300,214 900,279,215 000,159,213 900
"$250,000 and over",3 709,451 100,3 084,450 200,3 028,450 800,2 828,446 800,190,538 500,164,550 600,470,415 800,441,418 300,213,508 300
